habitat_code_input,habitat_match_mode,matched_habitats,num_matched_habitats,var_name,n_vascular_species_in_habitat,n_species_with_niche_for_var,notes
Q5,prefix,"['Q51', 'Q52', 'Q53', 'Q54']",4,NK,305,192,
Q5,prefix,"['Q51', 'Q52', 'Q53', 'Q54']",4,NP,305,192,
Q5,prefix,"['Q51', 'Q52', 'Q53', 'Q54']",4,P,305,192,
R1,prefix,"['R1A', 'R1R', 'R1P', 'R1D', 'R1B', 'R13', 'R1F', 'R1E', 'R1M', 'R12', 'R1Q', 'R11', 'R16', 'R14', 'R19', 'R18', 'R1C']",17,K,231,128,
R1,prefix,"['R1A', 'R1R', 'R1P', 'R1D', 'R1B', 'R13', 'R1F', 'R1E', 'R1M', 'R12', 'R1Q', 'R11', 'R16', 'R14', 'R19', 'R18', 'R1C']",17,KP,231,128,
R1,prefix,"['R1A', 'R1R', 'R1P', 'R1D', 'R1B', 'R13', 'R1F', 'R1E', 'R1M', 'R12', 'R1Q', 'R11', 'R16', 'R14', 'R19', 'R18', 'R1C']",17,N,231,128,
R1,prefix,"['R1A', 'R1R', 'R1P', 'R1D', 'R1B', 'R13', 'R1F', 'R1E', 'R1M', 'R12', 'R1Q', 'R11', 'R16', 'R14', 'R19', 'R18', 'R1C']",17,NK,231,128,
R1,prefix,"['R1A', 'R1R', 'R1P', 'R1D', 'R1B', 'R13', 'R1F', 'R1E', 'R1M', 'R12', 'R1Q', 'R11', 'R16', 'R14', 'R19', 'R18', 'R1C']",17,NP,231,128,
R1,prefix,"['R1A', 'R1R', 'R1P', 'R1D', 'R1B', 'R13', 'R1F', 'R1E', 'R1M', 'R12', 'R1Q', 'R11', 'R16', 'R14', 'R19', 'R18', 'R1C']",17,P,231,128,
R2,prefix,"['R22', 'R21', 'R23', 'R24']",4,K,386,230,
R2,prefix,"['R22', 'R21', 'R23', 'R24']",4,KP,386,230,
R2,prefix,"['R22', 'R21', 'R23', 'R24']",4,N,386,230,
R2,prefix,"['R22', 'R21', 'R23', 'R24']",4,NK,386,230,
R2,prefix,"['R22', 'R21', 'R23', 'R24']",4,NP,386,230,
R2,prefix,"['R22', 'R21', 'R23', 'R24']",4,P,386,230,
R3,prefix,"['R34', 'R35', 'R37', 'R33', 'R36', 'R31']",6,K,533,303,
R3,prefix,"['R34', 'R35', 'R37', 'R33', 'R36', 'R31']",6,KP,533,303,
R3,prefix,"['R34', 'R35', 'R37', 'R33', 'R36', 'R31']",6,N,533,303,
R3,prefix,"['R34', 'R35', 'R37', 'R33', 'R36', 'R31']",6,NK,533,303,
R3,prefix,"['R34', 'R35', 'R37', 'R33', 'R36', 'R31']",6,NP,533,303,
R3,prefix,"['R34', 'R35', 'R37', 'R33', 'R36', 'R31']",6,P,533,303,
R4,prefix,"['R43', 'R44', 'R41', 'R42']",4,K,0,0,No vascular-plant species found in plots for this habitat code.
R4,prefix,"['R43', 'R44', 'R41', 'R42']",4,KP,0,0,No vascular-plant species found in plots for this habitat code.
R4,prefix,"['R43', 'R44', 'R41', 'R42']",4,N,0,0,No vascular-plant species found in plots for this habitat code.
R4,prefix,"['R43', 'R44', 'R41', 'R42']",4,NK,0,0,No vascular-plant species found in plots for this habitat code.
R4,prefix,"['R43', 'R44', 'R41', 'R42']",4,NP,0,0,No vascular-plant species found in plots for this habitat code.
R4,prefix,"['R43', 'R44', 'R41', 'R42']",4,P,0,0,No vascular-plant species found in plots for this habitat code.
R5,prefix,"['R54', 'R57', 'R56', 'R55']",4,K,107,85,
R5,prefix,"['R54', 'R57', 'R56', 'R55']",4,KP,107,85,
R5,prefix,"['R54', 'R57', 'R56', 'R55']",4,N,107,85,
R5,prefix,"['R54', 'R57', 'R56', 'R55']",4,NK,107,85,
R5,prefix,"['R54', 'R57', 'R56', 'R55']",4,NP,107,85,
R5,prefix,"['R54', 'R57', 'R56', 'R55']",4,P,107,85,
R6,prefix,"['R62', 'R63', 'R65', 'R64']",4,K,0,0,No vascular-plant species found in plots for this habitat code.
R6,prefix,"['R62', 'R63', 'R65', 'R64']",4,KP,0,0,No vascular-plant species found in plots for this habitat code.
R6,prefix,"['R62', 'R63', 'R65', 'R64']",4,N,0,0,No vascular-plant species found in plots for this habitat code.
R6,prefix,"['R62', 'R63', 'R65', 'R64']",4,NK,0,0,No vascular-plant species found in plots for this habitat code.
R6,prefix,"['R62', 'R63', 'R65', 'R64']",4,NP,0,0,No vascular-plant species found in plots for this habitat code.
R6,prefix,"['R62', 'R63', 'R65', 'R64']",4,P,0,0,No vascular-plant species found in plots for this habitat code.
S1,prefix,['S11'],1,K,11,8,
S1,prefix,['S11'],1,KP,11,8,
S1,prefix,['S11'],1,N,11,8,
S1,prefix,['S11'],1,NK,11,8,
S1,prefix,['S11'],1,NP,11,8,
S1,prefix,['S11'],1,P,11,8,
S2,prefix,"['S21', 'S22', 'S25', 'S23']",4,K,0,0,No vascular-plant species found in plots for this habitat code.
S2,prefix,"['S21', 'S22', 'S25', 'S23']",4,KP,0,0,No vascular-plant species found in plots for this habitat code.
S2,prefix,"['S21', 'S22', 'S25', 'S23']",4,N,0,0,No vascular-plant species found in plots for this habitat code.
S2,prefix,"['S21', 'S22', 'S25', 'S23']",4,NK,0,0,No vascular-plant species found in plots for this habitat code.
S2,prefix,"['S21', 'S22', 'S25', 'S23']",4,NP,0,0,No vascular-plant species found in plots for this habitat code.
S2,prefix,"['S21', 'S22', 'S25', 'S23']",4,P,0,0,No vascular-plant species found in plots for this habitat code.
S3,prefix,"['S32', 'S35', 'S37', 'S36']",4,K,40,32,
S3,prefix,"['S32', 'S35', 'S37', 'S36']",4,KP,40,32,
S3,prefix,"['S32', 'S35', 'S37', 'S36']",4,N,40,32,
S3,prefix,"['S32', 'S35', 'S37', 'S36']",4,NK,40,32,
S3,prefix,"['S32', 'S35', 'S37', 'S36']",4,NP,40,32,
S3,prefix,"['S32', 'S35', 'S37', 'S36']",4,P,40,32,
S4,prefix,"['S42', 'S41']",2,K,44,39,
S4,prefix,"['S42', 'S41']",2,KP,44,39,
S4,prefix,"['S42', 'S41']",2,N,44,39,
S4,prefix,"['S42', 'S41']",2,NK,44,39,
S4,prefix,"['S42', 'S41']",2,NP,44,39,
S4,prefix,"['S42', 'S41']",2,P,44,39,
S5,prefix,['S53'],1,K,0,0,No vascular-plant species found in plots for this habitat code.
S5,prefix,['S53'],1,KP,0,0,No vascular-plant species found in plots for this habitat code.
S5,prefix,['S53'],1,N,0,0,No vascular-plant species found in plots for this habitat code.
S5,prefix,['S53'],1,NK,0,0,No vascular-plant species found in plots for this habitat code.
S5,prefix,['S53'],1,NP,0,0,No vascular-plant species found in plots for this habitat code.
S5,prefix,['S53'],1,P,0,0,No vascular-plant species found in plots for this habitat code.
S9,prefix,"['S92', 'S91']",2,K,198,151,
S9,prefix,"['S92', 'S91']",2,KP,198,151,
S9,prefix,"['S92', 'S91']",2,N,198,151,
S9,prefix,"['S92', 'S91']",2,NK,198,151,
S9,prefix,"['S92', 'S91']",2,NP,198,151,
S9,prefix,"['S92', 'S91']",2,P,198,151,
T1,prefix,"['T1H', 'T16', 'T1E', 'T1F', 'T11', 'T15', 'T19', 'T1B']",8,K,129,105,
T1,prefix,"['T1H', 'T16', 'T1E', 'T1F', 'T11', 'T15', 'T19', 'T1B']",8,KP,129,105,
T1,prefix,"['T1H', 'T16', 'T1E', 'T1F', 'T11', 'T15', 'T19', 'T1B']",8,N,129,105,
T1,prefix,"['T1H', 'T16', 'T1E', 'T1F', 'T11', 'T15', 'T19', 'T1B']",8,NK,129,105,
T1,prefix,"['T1H', 'T16', 'T1E', 'T1F', 'T11', 'T15', 'T19', 'T1B']",8,NP,129,105,
T1,prefix,"['T1H', 'T16', 'T1E', 'T1F', 'T11', 'T15', 'T19', 'T1B']",8,P,129,105,
T3,prefix,"['T31', 'T34', 'T3J', 'T35', 'T3K', 'T3F', 'T3G']",7,K,12,9,
T3,prefix,"['T31', 'T34', 'T3J', 'T35', 'T3K', 'T3F', 'T3G']",7,KP,12,9,
T3,prefix,"['T31', 'T34', 'T3J', 'T35', 'T3K', 'T3F', 'T3G']",7,N,12,9,
T3,prefix,"['T31', 'T34', 'T3J', 'T35', 'T3K', 'T3F', 'T3G']",7,NK,12,9,
T3,prefix,"['T31', 'T34', 'T3J', 'T35', 'T3K', 'T3F', 'T3G']",7,NP,12,9,
T3,prefix,"['T31', 'T34', 'T3J', 'T35', 'T3K', 'T3F', 'T3G']",7,P,12,9,
U2,prefix,"['U24', 'U22', 'U27']",3,K,0,0,No vascular-plant species found in plots for this habitat code.
U2,prefix,"['U24', 'U22', 'U27']",3,KP,0,0,No vascular-plant species found in plots for this habitat code.
U2,prefix,"['U24', 'U22', 'U27']",3,N,0,0,No vascular-plant species found in plots for this habitat code.
U2,prefix,"['U24', 'U22', 'U27']",3,NK,0,0,No vascular-plant species found in plots for this habitat code.
U2,prefix,"['U24', 'U22', 'U27']",3,NP,0,0,No vascular-plant species found in plots for this habitat code.
U2,prefix,"['U24', 'U22', 'U27']",3,P,0,0,No vascular-plant species found in plots for this habitat code.
U3,prefix,"['U37', 'U34', 'U3C', 'U38']",4,K,86,75,
U3,prefix,"['U37', 'U34', 'U3C', 'U38']",4,KP,86,75,
U3,prefix,"['U37', 'U34', 'U3C', 'U38']",4,N,86,75,
U3,prefix,"['U37', 'U34', 'U3C', 'U38']",4,NK,86,75,
U3,prefix,"['U37', 'U34', 'U3C', 'U38']",4,NP,86,75,
U3,prefix,"['U37', 'U34', 'U3C', 'U38']",4,P,86,75,
V1,prefix,"['V15', 'V11']",2,K,49,40,
V1,prefix,"['V15', 'V11']",2,KP,49,40,
V1,prefix,"['V15', 'V11']",2,N,49,40,
V1,prefix,"['V15', 'V11']",2,NK,49,40,
V1,prefix,"['V15', 'V11']",2,NP,49,40,
V1,prefix,"['V15', 'V11']",2,P,49,40,
V3,prefix,"['V32', 'V38', 'V33', 'V37', 'V39', 'V34', 'V35']",7,K,63,45,
V3,prefix,"['V32', 'V38', 'V33', 'V37', 'V39', 'V34', 'V35']",7,KP,63,45,
V3,prefix,"['V32', 'V38', 'V33', 'V37', 'V39', 'V34', 'V35']",7,N,63,45,
V3,prefix,"['V32', 'V38', 'V33', 'V37', 'V39', 'V34', 'V35']",7,NK,63,45,
V3,prefix,"['V32', 'V38', 'V33', 'V37', 'V39', 'V34', 'V35']",7,NP,63,45,
V3,prefix,"['V32', 'V38', 'V33', 'V37', 'V39', 'V34', 'V35']",7,P,63,45,
